metric,method,band,contrast,n_pairs,n_subjects,mean_baseline,mean_comparison,mean_difference,t,t_df,t_p_uncorrected,t_p_fdr_bh,cohen_dz,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_fdr_bh,omnibus_p_fdr_bh,interpret_posthoc,skip_reason
assortativity,aec,alpha1,Baseline_vs_T0,155,24,0.036994802545087545,0.05960997847030537,0.022615175925217827,1.228792089117963,154.0,0.22102417359103424,0.6323340595452105,0.09869895571820296,5231.0,0.1458931455962215,0.5166052368653089,0.2708724410409075,False,
assortativity,aec,alpha1,Baseline_vs_T1,155,24,0.036994802545087545,0.08364561161617994,0.046650809071092376,2.432756852000246,154.0,0.01612996361189609,0.2914100854130139,0.19540373260465935,4595.0,0.009586704594464273,0.3469167600228548,0.2708724410409075,False,
assortativity,aec,alpha1,Baseline_vs_T2,155,24,0.036994802545087545,0.08379569208708011,0.04680088954199259,2.471249579941765,154.0,0.0145534175576211,0.2914100854130139,0.1984955429151407,4596.0,0.009636576667301522,0.3469167600228548,0.2708724410409075,False,
assortativity,aec,alpha2,Baseline_vs_T0,155,24,0.1329253602014627,0.12121537662765516,-0.011709983573807535,-0.679243317324298,154.0,0.4980033165924185,0.8220701702837919,-0.05455813615027297,5785.0,0.6423011216740426,0.8671065142599576,0.6193446808320439,False,
assortativity,aec,alpha2,Baseline_vs_T1,155,24,0.1329253602014627,0.15234350806615257,0.019418147864689872,1.035299774726637,154.0,0.30215191291805515,0.6590084396897313,0.08315727902688376,5168.0,0.11717552759730628,0.46606006112401716,0.6193446808320439,False,
assortativity,aec,alpha2,Baseline_vs_T2,155,24,0.1329253602014627,0.12889783516728018,-0.004027525034182516,-0.22063403634944717,154.0,0.8256696343360564,0.9524542163168858,-0.017721752260965253,5941.0,0.8526066680549674,0.9616868945163078,0.6193446808320439,False,
assortativity,aec,beta1,Baseline_vs_T0,155,24,0.18608824411636335,0.14387133825102244,-0.04221690586534092,-2.359333957469106,154.0,0.01956225110411436,0.2914100854130139,-0.18950626379752122,4629.0,0.011417617876378853,0.3586663761222973,0.3993346073746088,False,
assortativity,aec,beta1,Baseline_vs_T1,155,24,0.18608824411636335,0.1560425856075977,-0.030045658508765654,-1.6030775701586173,154.0,0.11096658473493688,0.49841419441029094,-0.1287622890081453,5068.0,0.08091745371241668,0.4160114403381392,0.3993346073746088,False,
assortativity,aec,beta1,Baseline_vs_T2,155,24,0.18608824411636335,0.15922766829685064,-0.026860575819512705,-1.4799613334153758,154.0,0.140926394184967,0.5484702908820337,-0.11887335490275454,5326.0,0.19897527542345594,0.561812542372111,0.3993346073746088,False,
assortativity,aec,beta2,Baseline_vs_T0,155,24,0.22181361451149872,0.19230880696265143,-0.02950480754884729,-1.4525102558300316,154.0,0.14839423073847177,0.5673124573364585,-0.1166684312911795,5393.0,0.24410700441607902,0.6063029885655307,0.6008903696598039,False,
assortativity,aec,beta2,Baseline_vs_T1,155,24,0.22181361451149872,0.19200862013617406,-0.029804994375324672,-1.5906281372973798,154.0,0.11374402565748307,0.49841419441029094,-0.12776232649734331,5196.0,0.12933778530933387,0.48317136114921067,0.6008903696598039,False,
