metric,method,band,window,n,mean,std,median,min,max,sem,ci95_lower,ci95_upper
assortativity,aec,alpha1,Baseline,155,0.036994802545087545,0.16194446831813938,0.0122990509393752,-0.3483030949839926,0.5677498467198046,0.01300769271619679,0.011298260919058976,0.06269134417111612
assortativity,aec,alpha1,T0,159,0.06198234656711323,0.1677249600282766,0.0519985196150995,-0.2721061621337547,0.6342162752594205,0.01330145455149371,0.03571074912691793,0.08825394400730854
assortativity,aec,alpha1,T1,159,0.0865604093127419,0.16481362427605062,0.088337039782555,-0.3248322147651,0.6666666666666675,0.013070570608007636,0.060744828919042454,0.11237598970644136
assortativity,aec,alpha1,T2,159,0.08494887370833129,0.18172836822656485,0.0688112484022156,-0.2974465148378183,0.7963047445255478,0.014411997059204805,0.056483852564746,0.11341389485191658
assortativity,aec,alpha2,Baseline,155,0.1329253602014627,0.17309886187443405,0.1230854915065426,-0.3078260869565253,0.5130718954248378,0.013903635166856925,0.10545889496328982,0.16039182543963557
assortativity,aec,alpha2,T0,159,0.1219655585521551,0.16327895915843343,0.1192814680796069,-0.2151949085123297,0.6455059710873667,0.012948863747500372,0.09639036041383822,0.14754075669047198
assortativity,aec,alpha2,T1,159,0.15108359900166815,0.1788894231945247,0.1325800376647849,-0.3954357607300531,0.7412702325199247,0.014186854073262195,0.12306325598484484,0.17910394201849145
assortativity,aec,alpha2,T2,159,0.12471710221812188,0.1667932258205735,0.1070603337612311,-0.3205404112864662,0.5604707365766508,0.01322756322240503,0.09859144695625179,0.15084275747999198
assortativity,aec,beta1,Baseline,155,0.18608824411636335,0.18294089515930947,0.1797205417848924,-0.3047380505113727,0.5496626180836729,0.014694166303868295,0.1570600940573621,0.2151163941753646
assortativity,aec,beta1,T0,159,0.14371580505725484,0.18910280761976592,0.1435908259462495,-0.3643183300717539,0.6318537859007829,0.014996828144660851,0.11409568867290971,0.17333592144159998
assortativity,aec,beta1,T1,159,0.15576218879959852,0.20692011618839884,0.1546204620462038,-0.3542894564505566,0.7954050785973433,0.016409832626019232,0.12335125846541581,0.18817311913378124
assortativity,aec,beta1,T2,159,0.15372378497186412,0.17712627344557383,0.1596612296110403,-0.3225466056982084,0.6592609915809148,0.014047027202835793,0.12597961289837215,0.1814679570453561
assortativity,aec,beta2,Baseline,155,0.22181361451149872,0.17736330094473557,0.2147669091888979,-0.1789060139014835,0.6743648960739039,0.014246163155676244,0.19367048932180225,0.2499567397011952
assortativity,aec,beta2,T0,159,0.1953821138969174,0.19295772392710028,0.1924075924075928,-0.2696228338430187,0.6718204488778061,0.015302542893695075,0.1651581827352436,0.2256060450585912
assortativity,aec,beta2,T1,159,0.18742256649085812,0.1812017358727674,0.1898919076833198,-0.280820140150532,0.7353603603603619,0.01437023239687785,0.1590400344007543,0.21580509858096195
assortativity,aec,beta2,T2,159,0.20413921312624414,0.17635422665441883,0.2099364960776987,-0.1964094319399782,0.6972181551976542,0.013985799909638386,0.17651597059417998,0.2317624556583083
assortativity,aec,delta,Baseline,155,0.22629044865472,0.22449315876279874,0.1938851603281117,-0.2288484136310218,0.9024961520444358,0.018031724432465732,0.19066899236901155,0.26191190494042843
assortativity,aec,delta,T0,159,0.21756571500660976,0.23846356232331042,0.182874674600223,-0.3614897760467361,0.8080564321514755,0.018911390623649882,0.18021397730187724,0.2549174527113423
assortativity,aec,delta,T1,159,0.1930144222180151,0.23883341453033857,0.1404995539696685,-0.2487686437738474,0.943326550606677,0.018940721811576383,0.1556047527165257,0.23042409171950448
assortativity,aec,delta,T2,159,0.19045520083337522,0.23560866990247523,0.1534997953336063,-0.2866344605475023,0.8835610964596815,0.018684982927510075,0.15355063917448944,0.227359762492261
assortativity,aec,theta,Baseline,155,0.22078993276044354,0.20665261085331654,0.2145393774806758,-0.1926449632796228,0.6838910761154853,0.016598737140555018,0.18799932575750627,0.2535805397633808
assortativity,aec,theta,T0,159,0.21415229154298698,0.21290809177004721,0.1971397358228226,-0.25515901917941,0.6960954986321806,0.01688470997904601,0.18080343471333057,0.2475011483726434
assortativity,aec,theta,T1,159,0.20214999689096697,0.19874270255618198,0.192439862542956,-0.1980392156862758,0.6763369963369957,0.015761321541208958,0.17101993565945894,0.233280058122475
assortativity,aec,theta,T2,159,0.2121034397531905,0.20356206403023042,0.1940480141608588,-0.2640830156713241,0.6889503225265983,0.01614352176712326,0.18021849788529035,0.24398838162109063
assortativity,coherence,alpha1,Baseline,155,0.11214402230561826,0.16081081222331078,0.1078515962036244,-0.3345431255337358,0.5711434274308526,0.012916635267427345,0.08662736358224701,0.1376606810289895
assortativity,coherence,alpha1,T0,159,0.12366970425900604,0.16941013422627985,0.1026929260450148,-0.2370915691811203,0.7332158935212395,0.013435097558487487,0.09713414957512392,0.15020525894288816
assortativity,coherence,alpha1,T1,159,0.15450397801024654,0.1673084888729807,0.1453481130900493,-0.2497109826589623,0.7114650738344127,0.01326842624048238,0.12829761452530478,0.1807103414951883
assortativity,coherence,alpha1,T2,159,0.12677367882744997,0.17508771454148417,0.1225113589425863,-0.3192982456140362,0.8368845843422131,0.013885358965688979,0.099348816407556,0.15419854124734395
assortativity,coherence,alpha2,Baseline,155,0.12210349012097683,0.16022466599536775,0.1210552679913164,-0.1896224425226776,0.5740519914142594,0.01286955486944263,0.0966798381616013,0.14752714208035236
assortativity,coherence,alpha2,T0,159,0.11823673591904493,0.16529825421636138,0.1202214605852893,-0.1773236651285449,0.7176556776556772,0.01310900426227263,0.09234524551948134,0.14412822631860853
assortativity,coherence,alpha2,T1,159,0.13091945600522664,0.14891535391213057,0.1301410105757926,-0.3190546528803566,0.8161002825882202,0.011809755755779378,0.10759410103132087,0.1542448109791324
assortativity,coherence,alpha2,T2,159,0.1152126117582511,0.15039853232069822,0.1112843104032519,-0.2905421262614398,0.5449133137062484,0.011927379454661127,0.09165493914912091,0.13877028436738126
assortativity,coherence,beta1,Baseline,155,0.1489622733356795,0.16208548594820651,0.15072539310225,-0.2570123939986833,0.5305777504609728,0.013019019524815384,0.12324335573448698,0.174681190936872
assortativity,coherence,beta1,T0,159,0.13251941139620943,0.17967865371737332,0.1249387555120048,-0.3267841011743484,0.6000000000000018,0.014249444125026422,0.10437544726431595,0.1606633755281029
assortativity,coherence,beta1,T1,159,0.13603251543310682,0.1741802411203693,0.1198286413708693,-0.2984102163148293,0.7141615986099048,0.013813391642127757,0.10874979510347292,0.1633152357627407
assortativity,coherence,beta1,T2,159,0.12215551255042287,0.18187960873237086,0.0961538461538436,-0.224755700325735,0.6453859547301237,0.014423991211500233,0.09366680185171998,0.15064422324912574
assortativity,coherence,beta2,Baseline,155,0.1901331710719511,0.17459565376795413,0.1899957965531754,-0.2071531445031218,0.8128555176336776,0.014023860384878916,0.16242920235127717,0.21783713979262503
assortativity,coherence,beta2,T0,159,0.17043855896568957,0.18490499634796384,0.1848364717542128,-0.2788547038947218,0.5692025664527965,0.014663920056096036,0.14147596670801055,0.1994011512233686
assortativity,coherence,beta2,T1,159,0.16021627122431054,0.18572519986182975,0.1700971685299347,-0.2859344894026996,0.8580917874396148,0.014728966425824332,0.13112520639742245,0.18930733605119862
assortativity,coherence,beta2,T2,159,0.16585462582061117,0.18361043079319286,0.1519777931991662,-0.2495393524611756,0.6456962719298254,0.014561254329493315,0.1370948078256844,0.19461444381553794
assortativity,coherence,delta,Baseline,155,0.2556296039203266,0.22812752032610548,0.2307003257328997,-0.3159288687097992,0.8528113879003547,0.018323643378052562,0.219431465243639,0.29182774259701416
assortativity,coherence,delta,T0,159,0.2338824903275461,0.22347897399322428,0.1911115952290181,-0.243225806451614,0.8597219189051469,0.01772303546999904,0.1988778634663559,0.2688871171887363
assortativity,coherence,delta,T1,159,0.21474835368186906,0.21901991314767305,0.1857438372694362,-0.2006386375731786,0.7887144390767573,0.01736940894256123,0.18044217177172198,0.24905453559201615
assortativity,coherence,delta,T2,159,0.23558209852277312,0.2321276351764896,0.2067510548523209,-0.2392238186935267,0.9772580645161288,0.018408918916571794,0.19922278870345264,0.2719414083420936
assortativity,coherence,theta,Baseline,155,0.19396921246462887,0.20170954953725986,0.1844561096529602,-0.3513874958207951,0.6976505687115421,0.01620170090125432,0.16196294581111642,0.2259754791181413
assortativity,coherence,theta,T0,159,0.17026429695823392,0.19347578792788828,0.1441159193264161,-0.2516917703558189,0.6694672641274566,0.015343628041427916,0.1399592188469668,0.20056937506950104
assortativity,coherence,theta,T1,159,0.16392925732518424,0.1936781516461887,0.1510985307992993,-0.2776458168382167,0.7187454938716653,0.015359676528196914,0.13359248197492063,0.19426603267544784
assortativity,coherence,theta,T2,159,0.16811101790817923,0.19465685265673527,0.146524733876018,-0.2788664880868491,0.6412870924410802,0.015437292567032704,0.13762094373489575,0.1986010920814627
assortativity,wpli,alpha1,Baseline,155,-0.17295851823356986,0.18095567460007725,-0.1727387351516351,-0.5893198684109856,0.2255149501661126,0.0145347095513373,-0.20167166338214132,-0.1442453730849984
assortativity,wpli,alpha1,T0,159,-0.19768811642227144,0.16487603564751543,-0.1970753437923683,-0.7461300309597513,0.3215223097112883,0.013075520151718338,-0.22351347262051743,-0.17186276022402544
assortativity,wpli,alpha1,T1,159,-0.18887804388206303,0.17203867581224894,-0.1856533333333345,-0.6485848323857448,0.2938701923076932,0.013643554465775375,-0.21582532015103154,-0.16193076761309452
assortativity,wpli,alpha1,T2,159,-0.17159998085218653,0.1587286015547279,-0.1825481798715202,-0.5607225086746431,0.2466859484213065,0.012587996916180044,-0.1964624337726579,-0.14673752793171516
assortativity,wpli,alpha2,Baseline,155,-0.1866919555335748,0.16659499339082307,-0.175349806490028,-0.6461352657004831,0.2322915030626648,0.013381231878989314,-0.21312641931498283,-0.16025749175216675
assortativity,wpli,alpha2,T0,159,-0.16922461148267334,0.16843573719744012,-0.1741613133476081,-0.5656518922920337,0.3302489127417425,0.013357822847603448,-0.1956075414976673,-0.1428416814676794
assortativity,wpli,alpha2,T1,159,-0.2126856579877579,0.1663507850590884,-0.2315789473684222,-0.6660814313184539,0.2107946026986501,0.013192475387656822,-0.23874201154536817,-0.18662930443014764
assortativity,wpli,alpha2,T2,159,-0.19110806535059488,0.1707335783584224,-0.2075471698113215,-0.5088211895736827,0.4659788428888603,0.013540053505247989,-0.21785091769290765,-0.1643652130082821
assortativity,wpli,beta1,Baseline,155,-0.21077140352031876,0.16220004950588723,-0.231786487136332,-0.6218194492854666,0.1981627296587911,0.013028221491207083,-0.23650849949623035,-0.18503430754440717
assortativity,wpli,beta1,T0,159,-0.17944611604853763,0.17944190543673239,-0.1837762723640781,-0.6230712711241748,0.3146382501402144,0.014230668765088588,-0.20755299711585556,-0.1513392349812197
assortativity,wpli,beta1,T1,159,-0.1618763880394555,0.18692070654857218,-0.1720173211885905,-0.6724641675854464,0.3188405797101417,0.014823776273190105,-0.19115471104429077,-0.13259806503462024
assortativity,wpli,beta1,T2,159,-0.18662645983018483,0.1721412191237248,-0.1759483454398701,-0.6507132810930284,0.2772817460317467,0.013651686679352446,-0.213589797969723,-0.15966312169064667
assortativity,wpli,beta2,Baseline,155,-0.1827673140312504,0.16409545329039069,-0.1710020853912843,-0.6417451057585618,0.2818181818181824,0.013180463986785896,-0.20880516323913373,-0.15672946482336708
assortativity,wpli,beta2,T0,159,-0.18152228832034817,0.1747443959995114,-0.1894719082166371,-0.680104005398753,0.2394262596542861,0.013858132034277182,-0.20889337504384642,-0.15415120159684992
assortativity,wpli,beta2,T1,159,-0.17122355772062023,0.16156688179279743,-0.1680473372781081,-0.7117928398471108,0.3409175334323914,0.012813087180531394,-0.1965305846378566,-0.14591653080338385
assortativity,wpli,beta2,T2,159,-0.20019982554889384,0.18505762870490236,-0.2216300426369315,-0.7244803500799454,0.326113483831602,0.014676024589366236,-0.22918632537427872,-0.17121332572350897
assortativity,wpli,delta,Baseline,155,-0.2052286400936844,0.18364004041444226,-0.2151174264851005,-0.5387865542720363,0.2028894472361802,0.014750323002131608,-0.2343677270394947,-0.1760895531478741
