metric,method,band,n_complete_seizures,n_subjects,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
assortativity,aec,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,8.939009324703365,3.0,,0.03011287820079966,0.2708724410409075,,,
assortativity,aec,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.4208219850337183,3.0,,0.3311773640560235,0.6193446808320439,,,
assortativity,aec,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,6.273642270778977,3.0,,0.09902993901577277,0.3993346073746088,,,
assortativity,aec,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.6603240987289234,3.0,,0.3005561303279952,0.6008903696598039,,,
assortativity,aec,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.758145570942309,3.0,,0.28879218181351235,0.6008903696598039,,,
assortativity,aec,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.307618620615611,3.0,,0.7273247592792229,0.8655765730265133,,,
assortativity,coherence,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,5.7766564888706755,3.0,,0.1229966573076649,0.47868969330550665,,,
assortativity,coherence,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.324238442874479,3.0,,0.7233856233156546,0.8655765730265133,,,
assortativity,coherence,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.5817681965838823,3.0,,0.31031087943539787,0.6008903696598039,,,
assortativity,coherence,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.5977767197497412,3.0,,0.3083004629641547,0.6008903696598039,,,
assortativity,coherence,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.341024695230579,3.0,,0.2269164609229335,0.5690846349834214,,,
