metric,method,band,contrast,n_subjects,mean_baseline,mean_comparison,mean_difference,t,t_df,t_p_uncorrected,t_p_fdr_bh,cohen_dz,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_fdr_bh,omnibus_p_fdr_bh,interpret_posthoc,skip_reason
assortativity,aec,alpha1,Baseline_vs_T0,24,0.047847310182856574,0.08348053468523804,0.03563322450238147,1.874196900396878,23.0,0.07366198893032898,0.7428703094710886,0.38256884028984817,88.0,0.07872927188873291,0.7909545454868051,,False,
assortativity,aec,alpha1,Baseline_vs_T1,24,0.047847310182856574,0.10475145436445406,0.056904144181597484,2.5792876250375447,23.0,0.016768534594556937,0.7389722819997397,0.5264948817680876,63.0,0.011516094207763672,0.5452057765080378,,False,
assortativity,aec,alpha1,Baseline_vs_T2,24,0.047847310182856574,0.10219921379990582,0.054351903617049245,2.4017507568090455,23.0,0.02479058809936471,0.7389722819997397,0.49025532029379104,61.0,0.009575724601745605,0.5452057765080378,,False,
assortativity,aec,alpha2,Baseline_vs_T0,24,0.1580494082707652,0.11817255278918119,-0.039876855481584025,-1.4592686340989163,23.0,0.15801486218747798,0.9107842055948823,-0.2978719625992095,93.0,0.10738253593444824,0.8131685256958008,,False,
assortativity,aec,alpha2,Baseline_vs_T1,24,0.1580494082707652,0.16625569879430932,0.008206290523544128,0.34399544975798746,23.0,0.7339748140636352,0.996872804237865,0.07021777714552302,137.0,0.7257407903671265,0.9669384080536512,,False,
assortativity,aec,alpha2,Baseline_vs_T2,24,0.1580494082707652,0.11363853297115713,-0.044410875299608056,-1.9000963997590112,23.0,0.07002888949261787,0.7428703094710886,-0.3878555534590786,99.0,0.15150094032287598,0.8442323514730623,,False,
assortativity,aec,beta1,Baseline_vs_T0,24,0.19648482363120942,0.17084464131148788,-0.025640182319721566,-1.1859770513997199,23.0,0.24773918762379912,0.9702209526314701,-0.24208655188165432,109.0,0.2522493600845337,0.9214962838401257,0.9346311268387354,False,
assortativity,aec,beta1,Baseline_vs_T1,24,0.19648482363120942,0.16914324825429952,-0.027341575376909868,-1.1915841178018192,23.0,0.24557549973980586,0.9702209526314701,-0.24323108951824152,121.0,0.4223414659500122,0.9505211614793346,0.9346311268387354,False,
assortativity,aec,beta1,Baseline_vs_T2,24,0.19648482363120942,0.1644368867070151,-0.03204793692419434,-1.2220756251274918,23.0,0.23405624414085355,0.9702209526314701,-0.24945514238792763,111.0,0.27681541442871094,0.9214962838401257,0.9346311268387354,False,
assortativity,aec,beta2,Baseline_vs_T0,24,0.2135853338004574,0.1957908839860175,-0.017794449814439967,-0.6290444503410813,23.0,0.5355183492365719,0.9875733650656062,-0.12840316073876337,137.0,0.7257407903671265,0.9669384080536512,,False,
assortativity,aec,beta2,Baseline_vs_T1,24,0.2135853338004574,0.1965565133236764,-0.01702882047678104,-0.638725550693411,23.0,0.529311298238404,0.9872262720361417,-0.13037930707308726,124.0,0.47316575050354004,0.9505211614793346,,False,
assortativity,aec,beta2,Baseline_vs_T2,24,0.2135853338004574,0.19615134889096705,-0.01743398490949037,-0.7856523558842831,23.0,0.4400902874812609,0.9723109562562193,-0.16037061559433255,129.0,0.5645889043807983,0.9512063256145393,,False,
assortativity,aec,delta,Baseline_vs_T0,24,0.24002577063553435,0.25797027397559524,0.017944503340060883,0.7093400401778753,23.0,0.48524274670939976,0.9723109562562193,0.14479342938009274,122.0,0.4389305114746094,0.9505211614793346,0.996861179388722,False,
assortativity,aec,delta,Baseline_vs_T1,24,0.24002577063553435,0.23690111058426422,-0.003124660051270149,-0.10208975475927735,23.0,0.9195702722104593,0.996872804237865,-0.020838983927175002,143.0,0.8553357124328613,0.9669384080536512,0.996861179388722,False,
assortativity,aec,delta,Baseline_vs_T2,24,0.24002577063553435,0.25458298368365234,0.014557213048118018,0.4532829366115921,23.0,0.6545925765621334,0.996872804237865,0.09252599198406102,147.0,0.944107174873352,0.9804189892915579,0.996861179388722,False,
assortativity,aec,theta,Baseline_vs_T0,24,0.2517986339314903,0.25785065306720734,0.006052019135716985,0.22341666997461815,23.0,0.8251836814454685,0.996872804237865,0.045604736789133474,146.0,0.9218088388442993,0.9689085605370737,0.996861179388722,False,
