metric,method,band,window,n_subjects,mean,std,median,min,max,sem,ci95_lower,ci95_upper
assortativity,aec,alpha1,Baseline,24,0.04784731018285659,0.061638139896034984,0.04054389863439324,-0.0937887737618706,0.16311569888177263,0.012581832619964357,0.021819806380548683,0.07387481398516449
assortativity,aec,alpha1,T0,24,0.08348053468523804,0.08896820183703534,0.0725008775460359,-0.03998047217636332,0.3229257009876098,0.0181605581528068,0.04591255785297656,0.12104851151749953
assortativity,aec,alpha1,T1,24,0.10475145436445406,0.09317343267367599,0.07730962457104962,-0.03334980877160045,0.3588278151162144,0.019018947302839033,0.06540776428427725,0.14409514444463087
assortativity,aec,alpha1,T2,24,0.10219921379990582,0.11620267566901955,0.12291220954256002,-0.13300510436552274,0.3598778379244536,0.023719771844601983,0.053131127256166456,0.1512673003436452
assortativity,aec,alpha2,Baseline,24,0.1580494082707652,0.08748888605317795,0.16424396278200942,0.021442686841215433,0.35017982136698617,0.017858594082898804,0.12110609170979199,0.1949927248317384
assortativity,aec,alpha2,T0,24,0.11817255278918117,0.09902713992836669,0.13142408864307972,-0.09424304752247288,0.38197404090004916,0.020213830292640726,0.07635705891859082,0.1599880466597715
assortativity,aec,alpha2,T1,24,0.16625569879430932,0.08763470227301894,0.1514278279895035,-0.017903651973863483,0.3298705731512736,0.0178883586941348,0.12925080944378162,0.20326058814483702
assortativity,aec,alpha2,T2,24,0.11363853297115713,0.09631318494780035,0.11392590930976129,-0.1351758241198047,0.25978036570420954,0.01965984655203468,0.07296904178161989,0.15430802416069436
assortativity,aec,beta1,Baseline,24,0.19648482363120942,0.0932750610496478,0.2059781816919452,0.04543044735081451,0.41627805005398427,0.01903969210821559,0.15709821965151374,0.2358714276109051
assortativity,aec,beta1,T0,24,0.17084464131148788,0.1035995862442414,0.18758422975848357,-0.023262796552275408,0.3828501788468716,0.021147176988487545,0.12709837269537455,0.21459090992760121
assortativity,aec,beta1,T1,24,0.16914324825429958,0.13748800758920737,0.1719671483397557,-0.13363433928883553,0.4206114439766512,0.02806462202878827,0.11108715431091265,0.2271993421976865
assortativity,aec,beta1,T2,24,0.1644368867070151,0.10385713470612297,0.18507862210765835,-0.0670427432391762,0.35379455914834435,0.021199748848124922,0.120581864913369,0.20829190850066118
assortativity,aec,beta2,Baseline,24,0.21358533380045744,0.12300641056120755,0.21369366817759256,-0.026097046083352823,0.4570051121892448,0.025108578413854526,0.16164428197783381,0.26552638562308106
assortativity,aec,beta2,T0,24,0.1957908839860175,0.11737540627727719,0.20813762361952926,-0.1289806726000218,0.43628903119801543,0.023959154477599897,0.14622759673672484,0.24535417123531014
assortativity,aec,beta2,T1,24,0.1965565133236764,0.10284525513673407,0.19721377187354072,0.0148035451230407,0.36399864144004107,0.020993199795945758,0.1531287707987456,0.23998425584860722
assortativity,aec,beta2,T2,24,0.19615134889096708,0.11453750706161508,0.1925869318965886,-0.07834092482356506,0.3665294610641278,0.0233798707259485,0.1477864013831202,0.24451629639881398
assortativity,aec,delta,Baseline,24,0.24002577063553435,0.1423238744158428,0.20830603587240082,0.016765150231700256,0.5087112489778042,0.02905173921123068,0.1799276692203125,0.3001238720507562
assortativity,aec,delta,T0,24,0.25797027397559524,0.1407916964427688,0.26910650339243014,-0.02496987021239851,0.6007507101186331,0.028738984692133752,0.19851915457649622,0.31742139337469427
assortativity,aec,delta,T1,24,0.23690111058426422,0.1643784341001635,0.21194565405175103,-0.02998889886174915,0.5808163893506396,0.03355360735525926,0.16749018537179458,0.30631203579673383
assortativity,aec,delta,T2,24,0.25458298368365234,0.16337111129895995,0.21806783801458246,-0.00613318454868561,0.6477997081959064,0.03334798844949095,0.18559741358544635,0.32356855378185834
assortativity,aec,theta,Baseline,24,0.2517986339314903,0.14676544774468192,0.2305913216283042,-0.01750115891054216,0.620219971649136,0.02995837157046491,0.18982502058648643,0.3137722472764942
assortativity,aec,theta,T0,24,0.2578506530672073,0.14517473556650262,0.2325642172227737,0.06077948911364994,0.5208886014544439,0.029633668806784037,0.1965487385654159,0.3191525675689986
assortativity,aec,theta,T1,24,0.23861198458284075,0.13449545857177816,0.23668580246038734,-0.019640126804171654,0.47186724727698565,0.027453770518540876,0.18181953326496306,0.2954044359007184
assortativity,aec,theta,T2,24,0.24153179788217494,0.14154038889065745,0.2500554547749382,-0.0068927239582153,0.47160698387901756,0.02889181089810063,0.18176453338903106,0.3012990623753188
assortativity,coherence,alpha1,Baseline,24,0.1334689287206404,0.09438890298935135,0.1350075728626261,-0.03424169905018293,0.35182852892295297,0.01926705414208105,0.09361199053926858,0.1733258669020122
assortativity,coherence,alpha1,T0,24,0.1411237809175879,0.09996844009818835,0.12381888250457836,-0.01926429253600642,0.3661126412255868,0.020405972385212245,0.09891081084491765,0.18333675099025815
assortativity,coherence,alpha1,T1,24,0.16778153417712616,0.0888708561737589,0.17235859714240104,-0.0006178688397472423,0.28353154080638077,0.01814068755249846,0.1302546628134161,0.2053084055408362
assortativity,coherence,alpha1,T2,24,0.14509536541817847,0.11835724487908178,0.1507758124513941,-0.1070158978960204,0.41626274691468174,0.024159571442948974,0.09511748408825936,0.19507324674809756
assortativity,coherence,alpha2,Baseline,24,0.12134904537229733,0.07318999059222399,0.11782725027642708,-0.026437582240959295,0.3073568549689691,0.014939844269170832,0.09044362282640168,0.15225446791819297
assortativity,coherence,alpha2,T0,24,0.1173145564481302,0.11287632823700025,0.11294148059667673,-0.10038543878155,0.33085102490620133,0.023040784018296612,0.06965106323865933,0.16497804965760107
assortativity,coherence,alpha2,T1,24,0.13970884292148142,0.09027822299235999,0.12887310959255222,-0.0212822155271144,0.41336581543989115,0.018427965101373192,0.10158769266998913,0.1778299931729737
assortativity,coherence,alpha2,T2,24,0.11421050605700155,0.08795742931465095,0.12907249618579839,-0.13216389340728166,0.28895653876903205,0.01795423507565116,0.07706934102850316,0.15135167108549993
assortativity,coherence,beta1,Baseline,24,0.14855097221203642,0.06842986205417795,0.14593404276191863,0.041430729392921986,0.27463538316179564,0.01396818710014806,0.11965557566355796,0.1774463687605149
assortativity,coherence,beta1,T0,24,0.14740765112483337,0.12513860639440846,0.13556936744396264,-0.08057725283860691,0.4093639716966069,0.025543811065773747,0.0945662519645142,0.20024905028515255
assortativity,coherence,beta1,T1,24,0.14430941553654503,0.09752974035231614,0.11433464171765614,-0.016534905304190713,0.3222226254628228,0.019908174884108752,0.1031262180529801,0.18549261302010994
assortativity,coherence,beta1,T2,24,0.12707564667820248,0.1052133795151377,0.13487433594459947,-0.09015167348473559,0.3101346081772042,0.021476591160490298,0.08264793292819575,0.1715033604282092
assortativity,coherence,beta2,Baseline,24,0.2013259069219402,0.10774622134841101,0.1912711468126762,-0.012818152968648402,0.41520512659950626,0.02199360533471489,0.15582866786572924,0.24682314597815114
assortativity,coherence,beta2,T0,24,0.17390958896693623,0.10564771597328396,0.16203085756263588,-0.11818394531982138,0.36765563434029264,0.021565249718752465,0.1292984710156517,0.21852070691822076
assortativity,coherence,beta2,T1,24,0.15730458799441602,0.10397654911652536,0.1535314454034281,-0.049447313377521535,0.34054997186374253,0.021224124212576686,0.11339914191759007,0.20121003407124197
assortativity,coherence,beta2,T2,24,0.17312705054466515,0.11950169091649246,0.14851038769851546,-0.025760306543797417,0.41438499010089447,0.0243931805120995,0.1226659120359849,0.2235881890533454
assortativity,coherence,delta,Baseline,24,0.27418276794000407,0.15215979302400737,0.2600342878729449,-0.09781859811877534,0.5851006854084145,0.031059487689693122,0.20993132235500364,0.33843421352500447
assortativity,coherence,delta,T0,24,0.2759179290993837,0.13311493952261086,0.2729535665795978,0.020572039620968062,0.5027336829061615,0.027171973247653202,0.21970841985052308,0.33212743834824426
assortativity,coherence,delta,T1,24,0.247840805747596,0.13417693415937917,0.24979621172556543,-0.04975830783192324,0.45925504206064316,0.02738875199512443,0.19118285549300196,0.30449875600219006
assortativity,coherence,delta,T2,24,0.2753110379425651,0.16489138184655536,0.2604375508492943,0.03336413136189085,0.6122833009399491,0.03365831237554014,0.20568351389304235,0.3449385619920879
assortativity,coherence,theta,Baseline,24,0.22261198511468985,0.11697408377105398,0.18226148927069113,0.0491064071172991,0.45302260932412436,0.023877234864054745,0.17321816149739996,0.27200580873197977
assortativity,coherence,theta,T0,24,0.21636628641103242,0.12749009624934443,0.18433317731826193,0.030430185667441087,0.5658774906620498,0.026023806922434112,0.1625319401688632,0.27020063265320166
assortativity,coherence,theta,T1,24,0.20695817836757954,0.12299942016525874,0.17079500509778592,0.027774693495452096,0.5015567118454385,0.02510715150525664,0.15502007833028633,0.2588962784048728
assortativity,coherence,theta,T2,24,0.2266320919380144,0.14781444098900856,0.21308610840872166,-0.003698213896011169,0.5783245040412983,0.030172496419817157,0.16421552759381813,0.28904865628221066
assortativity,wpli,alpha1,Baseline,24,-0.1749771814498811,0.10149295460145832,-0.16222835775052846,-0.3509645460546455,-0.014663050323183298,0.020717162605085913,-0.21783389753918098,-0.1321204653605812
assortativity,wpli,alpha1,T0,24,-0.18990199011711928,0.06274513989863999,-0.17424998254223834,-0.38992587253937055,-0.11384205219938986,0.01280779804926785,-0.21639693902444745,-0.1634070412097911
assortativity,wpli,alpha1,T1,24,-0.1906465924737747,0.10977627817239956,-0.17867874291891406,-0.5475138390545826,-0.027726505735272803,0.022407988948683802,-0.23700104934665536,-0.14429213560089402
assortativity,wpli,alpha1,T2,24,-0.17435373433858767,0.07777449537673438,-0.16862873875768625,-0.3038704482469171,-0.053867345748758705,0.015875652389620715,-0.20719502347474392,-0.14151244520243142
assortativity,wpli,alpha2,Baseline,24,-0.19772394909979338,0.10679587383014168,-0.16898225137363326,-0.4416770151496291,-0.05627925686577573,0.021799616459874875,-0.2428198915937299,-0.15262800660585685
assortativity,wpli,alpha2,T0,24,-0.17739386328060402,0.09963220635730277,-0.1747496023307457,-0.31574873675404924,0.07519439773037853,0.020337338960255844,-0.2194648542964091,-0.13532287226479894
assortativity,wpli,alpha2,T1,24,-0.20447102105278261,0.08916242981208994,-0.21198292748226072,-0.38190609420344146,-0.03569721809392175,0.018200204772194948,-0.2421210131659688,-0.16682102893959644
assortativity,wpli,alpha2,T2,24,-0.1999045245126961,0.1084515529448386,-0.2085464632920168,-0.38237472365199854,0.09336276058835885,0.022137580543940747,-0.2456995989811838,-0.15410945004420842
assortativity,wpli,beta1,Baseline,24,-0.1906906170837296,0.08686615423462912,-0.19027808421273726,-0.3773081733907093,-0.05770395618297424,0.0177314794827288,-0.22737097705966575,-0.15401025710779348
assortativity,wpli,beta1,T0,24,-0.1729923458496074,0.09727136306109872,-0.16145530239361713,-0.3438035776156543,-0.0029976422953718385,0.019855433840391654,-0.2140664401717055,-0.1319182515275093
assortativity,wpli,beta1,T1,24,-0.15133889289256086,0.12245553976525339,-0.15148226016018634,-0.3461003598537527,0.09282921601027644,0.024996132383497148,-0.20304733237872427,-0.09963045340639745
assortativity,wpli,beta1,T2,24,-0.18599251121222846,0.08421746336793853,-0.20102827631723105,-0.41142961887571744,-0.029202506084318354,0.01719081772358196,-0.22155442712544293,-0.15043059529901398
assortativity,wpli,beta2,Baseline,24,-0.17044726136274924,0.08977475923405727,-0.19243823409635336,-0.3387325074633476,0.01722023328184797,0.018325195992054392,-0.2083558175141332,-0.13253870521136527
assortativity,wpli,beta2,T0,24,-0.19905166333085375,0.10250782976736869,-0.18013100402214266,-0.42098029164688516,-0.03991714023229699,0.02092432313084448,-0.24233692361834253,-0.15576640304336498
assortativity,wpli,beta2,T1,24,-0.1629510822496679,0.08638098608798858,-0.17592907227451682,-0.38354533437892796,0.05012340965559814,0.017632444949502037,-0.1994265736847502,-0.1264755908145856
assortativity,wpli,beta2,T2,24,-0.19001503199127992,0.08967925848744765,-0.19465249877197227,-0.4186733445759161,0.007534231404056846,0.01830570198378369,-0.22788326171409712,-0.15214680226846272
assortativity,wpli,delta,Baseline,24,-0.22320388813956846,0.1016346779098395,-0.2075546075770341,-0.4456144218325424,-0.0809947180935598,0.020746091754268663,-0.26612044873348817,-0.18028732754564872
assortativity,wpli,delta,T0,24,-0.2058864294354035,0.08091675221652701,-0.18822420028451736,-0.4448661529207404,-0.07612935366236116,0.016517062881142578,-0.24005457726624907,-0.17171828160455793
assortativity,wpli,delta,T1,24,-0.21730045897492264,0.08443225314365271,-0.2063358201310122,-0.4248209581092191,-0.040118952621391125,0.017234661502954173,-0.252953072656005,-0.1816478452938403
assortativity,wpli,delta,T2,24,-0.22938835487451437,0.08520324718636685,-0.22387908438139492,-0.3854191523652295,-0.041625587202072524,0.017392040002902107,-0.2653665307872303,-0.1934101789617984
assortativity,wpli,theta,Baseline,24,-0.19443522801982172,0.09383163553803107,-0.2093645534082095,-0.3783667752392761,-0.022371062178872202,0.019153302399914723,-0.23405685279406274,-0.1548136032455807
assortativity,wpli,theta,T0,24,-0.2040946782014954,0.10991257783817411,-0.20645036498226715,-0.3874618827197104,0.08031844488661599,0.02243581100145543,-0.25050668937557957,-0.1576826670274112
assortativity,wpli,theta,T1,24,-0.19381178971477772,0.10231814467625111,-0.21130548838730495,-0.34417813582792106,0.04477234730257713,0.020885603823756864,-0.23701695301298953,-0.15060662641656591
assortativity,wpli,theta,T2,24,-0.21398320463293796,0.09587178982555379,-0.22093555667832504,-0.3900239318239276,0.02849083854844258,0.01956974714999656,-0.25446631100875483,-0.1735000982571211
characteristic_path_length,aec,alpha1,Baseline,24,4.400356732978085,0.4046071277266795,4.457797584343246,3.260679493998248,4.935423553463977,0.0825900841019554,4.2295061269554255,4.571207339000744
characteristic_path_length,aec,alpha1,T0,24,4.409939229223425,0.5430646256860665,4.435432283572553,3.114660774702905,5.4421040151329025,0.11085260252386717,4.180623149377669,4.63925530906918
characteristic_path_length,aec,alpha1,T1,24,4.446567137352218,0.39934392886668646,4.510371389179829,3.507111639837139,5.375587929551032,0.08151573813347364,4.277938985293482,4.615195289410955
characteristic_path_length,aec,alpha1,T2,24,4.361734011391063,0.33368269599619177,4.414351205454466,3.3894628485228004,4.909225070431208,0.0681126950989091,4.220832166308553,4.502635856473574
characteristic_path_length,aec,alpha2,Baseline,24,5.996925966670022,0.7439144655841772,6.018237802607034,4.06433397913697,7.726127011832806,0.1518509044130393,5.682798437606973,6.311053495733072
characteristic_path_length,aec,alpha2,T0,24,5.812709672126697,0.8253292373226826,5.984087024018951,4.042747445598066,7.372229512442782,0.16846962510341454,5.4642037000320745,6.16121564422132
characteristic_path_length,aec,alpha2,T1,24,5.908872569576592,0.872002153046328,6.250179588989097,4.091696731065824,7.413191137458784,0.17799669413098565,5.540658353633097,6.277086785520087
characteristic_path_length,aec,alpha2,T2,24,5.8737526290395055,0.8209715919876833,6.007824433716278,4.09574839125819,7.860842808402045,0.1675801244741839,5.527086729191013,6.220418528887998
characteristic_path_length,aec,beta1,Baseline,24,10.044492381537578,2.3712479791032637,10.740014976746266,4.738197782312779,14.441407206512535,0.4840289668673987,9.043202175564065,11.045782587511091
characteristic_path_length,aec,beta1,T0,24,10.570362368762588,2.7741046065036796,10.918130057696722,5.753593630243125,15.115974631168239,0.5662617315865274,9.398960728227049,11.741764009298127
