metric,method,band,n_subjects_complete,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
assortativity,aec,alpha1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,2.701357185847036,3.0,,,,0.1051056240459781,,mixed model failed: Singular matrix
assortativity,aec,alpha2,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,2.664467815595288,3.0,,,,0.10381932852611875,,mixed model failed: Singular matrix
assortativity,aec,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.4257085104308342,3.0,,0.4888669341492876,0.9346311268387354,,,
assortativity,aec,beta2,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.26744650391183367,3.0,,,,0.011494450148058546,,mixed model failed: Singular matrix
assortativity,aec,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.8950089253101592,3.0,,0.8266321003363027,0.996861179388722,,,
assortativity,aec,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.7438218549960116,3.0,,0.8628513449159756,0.996861179388722,,,
assortativity,coherence,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.638336929081403,3.0,,0.30325850003678106,0.8754429249632198,,,
assortativity,coherence,alpha2,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.5992955298894906,3.0,,,,0.025394636425924575,,mixed model failed: Singular matrix
assortativity,coherence,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.6661599678112218,3.0,,0.6444832268527816,0.9553560541765119,,,
assortativity,coherence,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.749963800276447,3.0,,0.43180313599122433,0.9346311268387354,,,
assortativity,coherence,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.9918433658789023,3.0,,0.5741013693650319,0.9346311268387354,,,
assortativity,coherence,theta,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.20113510606583346,3.0,,,,0.008669192483312922,,mixed model failed: Singular matrix
assortativity,wpli,alpha1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.29026095005841657,3.0,,,,0.012462760751407061,,mixed model failed: Singular matrix
assortativity,wpli,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.6492395556622859,3.0,,0.6482773224769187,0.9553560541765119,,,
assortativity,wpli,beta1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,1.2803181735163034,3.0,,,,0.05273070000016752,,mixed model failed: Singular matrix
assortativity,wpli,beta2,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,1.5649085339678606,3.0,,,,0.06370504216630551,,mixed model failed: Singular matrix
assortativity,wpli,delta,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.36837784902069326,3.0,,,,0.015763946107030743,,mixed model failed: Singular matrix
assortativity,wpli,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.2102395722583763,3.0,,0.7505495014894742,0.996861179388722,,,
characteristic_path_length,aec,alpha1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.26100548667444723,3.0,,,,0.011220731056702156,,mixed model failed: Singular matrix
characteristic_path_length,aec,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.798023717879209,3.0,,0.4238253516194753,0.9346311268387354,,,
characteristic_path_length,aec,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,10.326812559413163,3.0,,0.015982946635929703,0.26334133545858984,,,
characteristic_path_length,aec,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,4.476967788296445,3.0,,0.21435393175819115,0.8574157270327646,,,
characteristic_path_length,aec,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.45126112933947116,3.0,,0.9294609629941615,0.996861179388722,,,
characteristic_path_length,aec,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,5.313739641243386,3.0,,0.1502133270717552,0.8011377443826944,,,
characteristic_path_length,coherence,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.778821192311931,3.0,,0.4269982029134616,0.9346311268387354,,,
